submission_id,Condition,Index,ItemId,PageId,Stimulus,SubjectId,Word,device,experiment_duration,experiment_end_time,experiment_start_time,hand,mousePositionX,mousePositionY,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,wordPositionBottom,wordPositionLeft,wordPositionRight,wordPositionTop,wordRevealPart
71,,0-0,17,3,3,,面,,,,,,630,138,,,,认为公司不会批准,1524,143.265625,625.375,643.375,123.265625,f
71,,0-0,17,3,3,,面,,,,,,640,138,,,,认为公司不会批准,1576,143.265625,625.375,643.375,123.265625,f
71,,0-1,17,3,3,,对,,,,,,648,139,,,,认为公司不会批准,1626,143.265625,643.375,661.375,123.265625,f
71,,0-1,17,3,3,,对,,,,,,652,139,,,,认为公司不会批准,1676,143.265625,643.375,661.375,123.265625,f
71,,0-1,17,3,3,,对,,,,,,655,139,,,,认为公司不会批准,1725,143.265625,643.375,661.375,123.265625,f
71,,0-1,17,3,3,,对,,,,,,659,139,,,,认为公司不会批准,1774,143.265625,643.375,661.375,123.265625,f
71,,0-2,17,3,3,,长,,,,,,670,139,,,,认为公司不会批准,1826,143.265625,661.375,679.375,123.265625,f
71,,0-3,17,3,3,,期,,,,,,679,139,,,,认为公司不会批准,1875,143.265625,679.375,697.375,123.265625,f
71,,0-3,17,3,3,,期,,,,,,688,139,,,,认为公司不会批准,1923,143.265625,679.375,697.375,123.265625,f
71,,0-3,17,3,3,,期,,,,,,690,139,,,,认为公司不会批准,1979,143.265625,679.375,697.375,123.265625,f
71,,0-3,17,3,3,,期,,,,,,690,139,,,,认为公司不会批准,2025,143.265625,679.375,697.375,123.265625,f
71,,0-3,17,3,3,,期,,,,,,694,139,,,,认为公司不会批准,2075,143.265625,679.375,697.375,123.265625,f
71,,0-4,17,3,3,,以,,,,,,701,140,,,,认为公司不会批准,2124,143.265625,697.375,715.375,123.265625,f
71,,0-4,17,3,3,,以,,,,,,707,141,,,,认为公司不会批准,2174,143.265625,697.375,715.375,123.265625,f
71,,0-4,17,3,3,,以,,,,,,710,141,,,,认为公司不会批准,2224,143.265625,697.375,715.375,123.265625,f
71,,0-4,17,3,3,,以,,,,,,714,141,,,,认为公司不会批准,2274,143.265625,697.375,715.375,123.265625,f
71,,0-5,17,3,3,,来,,,,,,723,141,,,,认为公司不会批准,2325,143.265625,715.375,733.375,123.265625,f
71,,0-6,17,3,3,,根,,,,,,734,141,,,,认为公司不会批准,2375,143.265625,733.375,751.375,123.265625,f
71,,0-7,17,3,3,,深,,,,,,751,141,,,,认为公司不会批准,2425,143.265625,751.375,769.375,123.265625,f
71,,0-7,17,3,3,,深,,,,,,752,141,,,,认为公司不会批准,2477,143.265625,751.375,769.375,123.265625,f
71,,0-7,17,3,3,,深,,,,,,756,141,,,,认为公司不会批准,2523,143.265625,751.375,769.375,123.265625,f
71,,0-7,17,3,3,,深,,,,,,759,141,,,,认为公司不会批准,2575,143.265625,751.375,769.375,123.265625,f
71,,0-7,17,3,3,,深,,,,,,763,141,,,,认为公司不会批准,2624,143.265625,751.375,769.375,123.265625,f
71,,0-8,17,3,3,,蒂,,,,,,773,141,,,,认为公司不会批准,2674,143.265625,769.375,787.375,123.265625,f
71,,0-8,17,3,3,,蒂,,,,,,778,141,,,,认为公司不会批准,2726,143.265625,769.375,787.375,123.265625,f
71,,0-8,17,3,3,,蒂,,,,,,782,141,,,,认为公司不会批准,2774,143.265625,769.375,787.375,123.265625,f
71,,0-9,17,3,3,,固,,,,,,788,141,,,,认为公司不会批准,2823,143.265625,787.375,805.375,123.265625,f
71,,0-9,17,3,3,,固,,,,,,797,141,,,,认为公司不会批准,2875,143.265625,787.375,805.375,123.265625,f
71,,0-9,17,3,3,,固,,,,,,802,141,,,,认为公司不会批准,2925,143.265625,787.375,805.375,123.265625,f
71,,0-10,17,3,3,,的,,,,,,805,141,,,,认为公司不会批准,2974,143.265625,805.375,823.375,123.265625,f
71,,0-10,17,3,3,,的,,,,,,808,141,,,,认为公司不会批准,3026,143.265625,805.375,823.375,123.265625,f
71,,0-10,17,3,3,,的,,,,,,813,142,,,,认为公司不会批准,3075,143.265625,805.375,823.375,123.265625,f
71,,0-11,17,3,3,,过,,,,,,823,142,,,,认为公司不会批准,3125,143.265625,823.375,841.375,123.265625,f
71,,0-11,17,3,3,,过,,,,,,829,142,,,,认为公司不会批准,3176,143.265625,823.375,841.375,123.265625,f
71,,0-11,17,3,3,,过,,,,,,833,142,,,,认为公司不会批准,3225,143.265625,823.375,841.375,123.265625,f
71,,0-11,17,3,3,,过,,,,,,840,142,,,,认为公司不会批准,3275,143.265625,823.375,841.375,123.265625,f
71,,0-12,17,3,3,,劳,,,,,,852,142,,,,认为公司不会批准,3324,143.265625,841.375,859.375,123.265625,f
71,,0-12,17,3,3,,劳,,,,,,855,142,,,,认为公司不会批准,3375,143.265625,841.375,859.375,123.265625,f
71,,0-13,17,3,3,,文,,,,,,859,142,,,,认为公司不会批准,3424,143.265625,859.375,877.375,123.265625,f
71,,0-13,17,3,3,,文,,,,,,863,142,,,,认为公司不会批准,3475,143.265625,859.375,877.375,123.265625,f
71,,0-13,17,3,3,,文,,,,,,870,142,,,,认为公司不会批准,3525,143.265625,859.375,877.375,123.265625,f
71,,0-14,17,3,3,,化,,,,,,878,142,,,,认为公司不会批准,3575,143.265625,877.375,895.375,123.265625,f
71,,0-14,17,3,3,,化,,,,,,885,143,,,,认为公司不会批准,3625,143.265625,877.375,895.375,123.265625,f
71,,0-14,17,3,3,,化,,,,,,888,143,,,,认为公司不会批准,3675,143.265625,877.375,895.375,123.265625,f
71,,0-14,17,3,3,,化,,,,,,893,143,,,,认为公司不会批准,3725,143.265625,877.375,895.375,123.265625,f
71,,0-15,17,3,3,,，,,,,,,900,143,,,,认为公司不会批准,3775,143.265625,895.375,913.375,123.265625,f
71,,0-16,17,3,3,,日,,,,,,916,142,,,,认为公司不会批准,3824,143.265625,913.375,931.375,123.265625,f
71,,0-16,17,3,3,,日,,,,,,926,141,,,,认为公司不会批准,3875,143.265625,913.375,931.375,123.265625,f
71,,0-16,17,3,3,,日,,,,,,929,140,,,,认为公司不会批准,3925,143.265625,913.375,931.375,123.265625,f
71,,0-17,17,3,3,,本,,,,,,933,140,,,,认为公司不会批准,3975,143.265625,931.375,949.375,123.265625,f
71,,0-17,17,3,3,,本,,,,,,937,139,,,,认为公司不会批准,4025,143.265625,931.375,949.375,123.265625,f
71,,0-17,17,3,3,,本,,,,,,941,137,,,,认为公司不会批准,4075,143.265625,931.375,949.375,123.265625,f
71,,0-17,17,3,3,,本,,,,,,945,137,,,,认为公司不会批准,4124,143.265625,931.375,949.375,123.265625,f
71,,0-17,17,3,3,,本,,,,,,948,136,,,,认为公司不会批准,4176,143.265625,931.375,949.375,123.265625,f
71,,0-18,17,3,3,,政,,,,,,953,136,,,,认为公司不会批准,4224,143.265625,949.375,967.375,123.265625,f
71,,0-18,17,3,3,,政,,,,,,957,136,,,,认为公司不会批准,4274,143.265625,949.375,967.375,123.265625,f
71,,0-18,17,3,3,,政,,,,,,961,135,,,,认为公司不会批准,4325,143.265625,949.375,967.375,123.265625,f
71,,0-19,17,3,3,,府,,,,,,967,135,,,,认为公司不会批准,4374,143.265625,967.375,985.375,123.265625,f
71,,0-19,17,3,3,,府,,,,,,980,139,,,,认为公司不会批准,4426,143.265625,967.375,985.375,123.265625,f
71,,0-20,17,3,3,,正,,,,,,987,141,,,,认为公司不会批准,4475,143.265625,985.375,1003.375,123.265625,f
71,,0-20,17,3,3,,正,,,,,,999,144,,,,认为公司不会批准,4524,143.265625,985.375,1003.375,123.265625,f
71,,0-20,17,3,3,,正,,,,,,1001,144,,,,认为公司不会批准,4575,143.265625,985.375,1003.375,123.265625,f
71,,0-21,17,3,3,,在,,,,,,1006,144,,,,认为公司不会批准,4626,143.265625,1003.375,1021.375,123.265625,f
71,,0-21,17,3,3,,在,,,,,,1010,144,,,,认为公司不会批准,4674,143.265625,1003.375,1021.375,123.265625,f
71,,0-21,17,3,3,,在,,,,,,1014,143,,,,认为公司不会批准,4725,143.265625,1003.375,1021.375,123.265625,f
71,,0-21,17,3,3,,在,,,,,,1019,143,,,,认为公司不会批准,4773,143.265625,1003.375,1021.375,123.265625,f
71,,0-22,17,3,3,,推,,,,,,1023,142,,,,认为公司不会批准,4824,143.265625,1021.375,1039.375,123.265625,f
71,,0-22,17,3,3,,推,,,,,,1036,141,,,,认为公司不会批准,4876,143.265625,1021.375,1039.375,123.265625,f
71,,0-23,17,3,3,,动,,,,,,1046,142,,,,认为公司不会批准,4925,143.265625,1039.375,1057.375,123.265625,f
71,,0-23,17,3,3,,动,,,,,,1050,143,,,,认为公司不会批准,4975,143.265625,1039.375,1057.375,123.265625,f
71,,0-23,17,3,3,,动,,,,,,1054,144,,,,认为公司不会批准,5026,143.265625,1039.375,1057.375,123.265625,f
71,,0-24,17,3,3,,一,,,,,,1057,144,,,,认为公司不会批准,5073,143.265625,1057.375,1075.375,123.265625,f
71,,0-24,17,3,3,,一,,,,,,1062,145,,,,认为公司不会批准,5125,143.265625,1057.375,1075.375,123.265625,f
71,,0-24,17,3,3,,一,,,,,,1073,145,,,,认为公司不会批准,5176,143.265625,1057.375,1075.375,123.265625,f
71,,0-25,17,3,3,,项,,,,,,1088,148,,,,认为公司不会批准,5225,143.265625,1075.375,1093.375,123.265625,f
71,,0-26,17,3,3,,新,,,,,,1097,148,,,,认为公司不会批准,5275,143.265625,1093.375,1111.375,123.265625,f
71,,0-26,17,3,3,,新,,,,,,1108,148,,,,认为公司不会批准,5324,143.265625,1093.375,1111.375,123.265625,f
71,,0-27,17,3,3,,法,,,,,,1119,148,,,,认为公司不会批准,5374,143.265625,1111.375,1129.375,123.265625,f
71,,0-27,17,3,3,,法,,,,,,1126,147,,,,认为公司不会批准,5424,143.265625,1111.375,1129.375,123.265625,f
71,,0-28,17,3,3,,案,,,,,,1129,147,,,,认为公司不会批准,5484,143.265625,1129.375,1147.375,123.265625,f
71,,0-28,17,3,3,,案,,,,,,1131,147,,,,认为公司不会批准,5525,143.265625,1129.375,1147.375,123.265625,f
71,,0-28,17,3,3,,案,,,,,,1134,146,,,,认为公司不会批准,5575,143.265625,1129.375,1147.375,123.265625,f
71,,0-28,17,3,3,,案,,,,,,1140,144,,,,认为公司不会批准,5625,143.265625,1129.375,1147.375,123.265625,f
71,,0-28,17,3,3,,案,,,,,,1143,143,,,,认为公司不会批准,5675,143.265625,1129.375,1147.375,123.265625,f
71,,0-29,17,3,3,,，,,,,,,1152,142,,,,认为公司不会批准,5724,143.265625,1147.375,1165.375,123.265625,f
71,,0-29,17,3,3,,，,,,,,,1154,141,,,,认为公司不会批准,5781,143.265625,1147.375,1165.375,123.265625,f
